# Canonical casing mined from Tatoeba: words written capitalized in >=90% of
# mid-sentence occurrences (>=25 seen). 'lower<TAB>Canonical' per line.
a's	A's
wichita	Wichita
wisconsin	Wisconsin
wyoming	Wyoming
advil	Advil
amoled	AMOLED
anthropic	Anthropic
bitcoin	Bitcoin
chatgpt	ChatGPT
deepseek	DeepSeek
dns	DNS
ecg	ECG
ekg	EKG
ethereum	Ethereum
flutter	Flutter
github	GitHub
gitlab	GitLab
gpt	GPT
gpu	GPU
graphql	GraphQL
hdmi	HDMI
ipv6	IPv6
javascript	JavaScript
json	JSON
kotlin	Kotlin
kubernetes	Kubernetes
midjourney	Midjourney
mistral	Mistral
mri	MRI
nft	NFT
nodejs	NodeJS
nvme	NVMe
oled	OLED
ollama	Ollama
openai	OpenAI
postgres	Postgres
postgresql	PostgreSQL
qwen	Qwen
ssd	SSD
ssl	SSL
svelte	Svelte
tcp	TCP
tls	TLS
toml	TOML
tpu	TPU
tylenol	Tylenol
typescript	TypeScript
udp	UDP
url	URL
urls	URLs
vpn	VPN
yaml	YAML
